Firm,U-RW,U-SRW,U-ARIMA-F,U-ARIMA-G,U-ARIMA-BR,M-OLS1,M-OLS2,M-OLS3,U-RIDGE,U-LASSO,U-EN,U-RF,U-NN,M-RIDGE,M-LASSO,M-EN,M-RF,M-NN,IBES
イーグル工業,41.7,50.0,41.7,33.3,25.0,50.0,75.0,66.7,41.7,41.7,41.7,50.0,58.3,33.3,41.7,33.3,25.0,33.3,-
ウシオ電機,41.7,41.7,50.0,58.3,41.7,41.7,41.7,66.7,41.7,41.7,41.7,33.3,50.0,50.0,58.3,50.0,41.7,58.3,-
ウッドワン,33.3,41.7,33.3,50.0,33.3,50.0,25.0,83.3,58.3,25.0,25.0,33.3,50.0,50.0,41.7,33.3,33.3,41.7,-
エア・ウォーター,0.0,0.0,0.0,8.3,0.0,8.3,0.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.3,-
エイチワン,25.0,50.0,33.3,41.7,58.3,16.7,41.7,75.0,41.7,33.3,33.3,41.7,41.7,50.0,50.0,50.0,16.7,50.0,-
エイベックス,58.3,58.3,58.3,58.3,66.7,75.0,58.3,75.0,75.0,66.7,66.7,66.7,58.3,50.0,75.0,50.0,58.3,66.7,-
エクセディ,41.7,25.0,16.7,33.3,33.3,25.0,41.7,33.3,33.3,33.3,33.3,25.0,25.0,16.7,25.0,8.3,33.3,41.7,-
エステー,50.0,16.7,16.7,25.0,16.7,25.0,16.7,33.3,16.7,8.3,8.3,25.0,25.0,16.7,8.3,8.3,16.7,16.7,-
エステールホールディングス,58.3,25.0,25.0,25.0,33.3,41.7,16.7,58.3,25.0,33.3,16.7,16.7,33.3,8.3,0.0,0.0,16.7,16.7,-
エスペック,33.3,33.3,41.7,33.3,16.7,33.3,25.0,50.0,25.0,25.0,25.0,16.7,25.0,16.7,16.7,25.0,16.7,16.7,-
エスライン,16.7,16.7,25.0,16.7,16.7,33.3,50.0,75.0,16.7,16.7,16.7,25.0,41.7,33.3,16.7,16.7,16.7,16.7,-
エスリード,50.0,33.3,33.3,25.0,16.7,41.7,33.3,75.0,25.0,25.0,25.0,16.7,16.7,8.3,16.7,16.7,16.7,33.3,-
エス・エム・エス,50.0,8.3,8.3,83.3,0.0,100.0,66.7,83.3,66.7,66.7,66.7,0.0,75.0,16.7,16.7,16.7,58.3,83.3,8.3
エディオン,41.7,25.0,50.0,25.0,41.7,50.0,58.3,91.7,25.0,25.0,25.0,33.3,33.3,41.7,25.0,25.0,16.7,50.0,-
エヌ・ティ・ティ・データ,8.3,16.7,25.0,100.0,83.3,100.0,83.3,91.7,83.3,83.3,83.3,25.0,75.0,16.7,33.3,25.0,16.7,58.3,-
エノモト,16.7,33.3,41.7,8.3,8.3,50.0,58.3,83.3,8.3,0.0,0.0,0.0,16.7,33.3,8.3,8.3,8.3,41.7,-
エバラ食品工業,41.7,8.3,16.7,8.3,8.3,16.7,16.7,41.7,16.7,16.7,25.0,8.3,25.0,8.3,16.7,16.7,8.3,16.7,-
エフテック,41.7,58.3,41.7,66.7,33.3,41.7,41.7,91.7,33.3,33.3,33.3,41.7,58.3,91.7,8.3,16.7,25.0,41.7,-
エフピコ,16.7,8.3,0.0,0.0,0.0,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,0.0,0.0,0.0,8.3,0.0,0.0
エフ・シー・シー,25.0,25.0,25.0,25.0,16.7,25.0,16.7,58.3,16.7,16.7,16.7,16.7,25.0,33.3,8.3,8.3,16.7,16.7,-
エフ・ジェー・ネクスト,16.7,8.3,8.3,16.7,8.3,25.0,8.3,58.3,16.7,8.3,8.3,8.3,8.3,0.0,0.0,0.0,0.0,8.3,-
エムスリー,0.0,8.3,8.3,75.0,25.0,91.7,91.7,58.3,83.3,83.3,83.3,0.0,41.7,0.0,0.0,0.0,8.3,16.7,0.0
エレコム,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-
エレマテック,16.7,41.7,50.0,33.3,25.0,25.0,50.0,66.7,33.3,41.7,41.7,16.7,33.3,33.3,41.7,33.3,16.7,25.0,-
エンシュウ,25.0,41.7,41.7,33.3,25.0,75.0,50.0,91.7,41.7,25.0,25.0,16.7,33.3,25.0,58.3,25.0,33.3,25.0,-
エンプラス,66.7,41.7,50.0,50.0,50.0,58.3,58.3,83.3,66.7,66.7,50.0,50.0,66.7,66.7,25.0,25.0,41.7,41.7,-
エーアンドエーマテリアル,50.0,8.3,25.0,25.0,33.3,16.7,41.7,91.7,33.3,8.3,8.3,16.7,25.0,33.3,8.3,8.3,8.3,25.0,-
エーザイ,33.3,33.3,33.3,25.0,25.0,33.3,25.0,75.0,25.0,25.0,25.0,25.0,33.3,33.3,25.0,25.0,33.3,25.0,25.0
エー・アンド・デイ,50.0,8.3,8.3,16.7,8.3,16.7,16.7,50.0,16.7,8.3,8.3,8.3,16.7,50.0,8.3,16.7,16.7,33.3,-
オイレス工業,25.0,8.3,8.3,8.3,8.3,16.7,16.7,66.7,8.3,8.3,8.3,8.3,16.7,25.0,25.0,16.7,8.3,33.3,-
オカダアイヨン,8.3,8.3,8.3,8.3,8.3,8.3,16.7,41.7,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,16.7,-
オカムラ,25.0,16.7,16.7,16.7,8.3,16.7,8.3,58.3,16.7,8.3,8.3,16.7,16.7,25.0,8.3,8.3,8.3,8.3,-
オカモト,50.0,33.3,33.3,16.7,25.0,25.0,41.7,58.3,16.7,8.3,8.3,25.0,25.0,41.7,41.7,41.7,25.0,16.7,-
オリエンタルランド,33.3,33.3,33.3,25.0,33.3,50.0,25.0,58.3,33.3,33.3,33.3,33.3,41.7,8.3,0.0,16.7,8.3,41.7,-
オリジン,66.7,91.7,100.0,75.0,66.7,75.0,83.3,91.7,58.3,41.7,33.3,50.0,66.7,66.7,58.3,58.3,50.0,58.3,-
オリンパス,58.3,58.3,58.3,58.3,41.7,66.7,58.3,83.3,50.0,41.7,41.7,50.0,83.3,75.0,41.7,41.7,58.3,66.7,41.7
オルガノ,41.7,16.7,25.0,16.7,25.0,25.0,33.3,75.0,33.3,16.7,16.7,16.7,16.7,8.3,16.7,16.7,16.7,16.7,-
オーイズミ,33.3,50.0,50.0,41.7,41.7,41.7,33.3,83.3,8.3,8.3,8.3,58.3,50.0,33.3,16.7,25.0,33.3,41.7,-
オークマ,25.0,33.3,41.7,25.0,25.0,33.3,41.7,91.7,25.0,25.0,25.0,33.3,25.0,25.0,25.0,25.0,33.3,33.3,-
オートバックスセブン,33.3,33.3,41.7,41.7,50.0,50.0,33.3,33.3,33.3,33.3,33.3,16.7,58.3,25.0,8.3,16.7,33.3,50.0,-
オーハシテクニカ,8.3,16.7,16.7,16.7,8.3,25.0,16.7,41.7,8.3,8.3,8.3,16.7,25.0,0.0,0.0,0.0,8.3,8.3,-
オーバル,75.0,41.7,50.0,33.3,33.3,41.7,41.7,66.7,50.0,41.7,41.7,33.3,33.3,25.0,33.3,33.3,16.7,41.7,-
オービック,0.0,0.0,0.0,8.3,33.3,41.7,66.7,50.0,0.0,0.0,0.0,0.0,25.0,16.7,50.0,50.0,0.0,0.0,-
